file,sheet,report_date
./data/2305/12. WEEKLY REPORT  08-12.05.23   .xlsx,FD LACATUS,08-12.05.2023
./data/2305/12. WEEKLY REPORT  08-12.05.23   .xlsx,FD NECULAU,08-12.05.2023
./data/2305/12. WEEKLY REPORT  08-12.05.23   .xlsx,FD SERBAN,08-12.05.2023
./data/2305/19. WEEKLY REPORT  15-19.05.23   .xlsx,FD BETCU,15-19.05.2023
./data/2305/19. WEEKLY REPORT  15-19.05.23   .xlsx,FD CAMENCEAN,15-19.05.2023
./data/2305/19. WEEKLY REPORT  15-19.05.23   .xlsx,FD CRISTIAN,15-19.05.2023
./data/2305/19. WEEKLY REPORT  15-19.05.23   .xlsx,FD DUMITRESCU,15-19.05.2023
./data/2305/19. WEEKLY REPORT  15-19.05.23   .xlsx,FD LACATUS,15-19.05.2023
./data/2305/19. WEEKLY REPORT  15-19.05.23   .xlsx,FD NECULAU,15-19.05.2023
./data/2305/19. WEEKLY REPORT  15-19.05.23   .xlsx,FD SERBAN,15-19.05.2023
