file,sheet,report_date
./data/2307/14.07 WEEKLY REPORT 10-14.07.23.xlsx,FD BETCU,2023-07-15 00:00:00
./data/2307/14.07 WEEKLY REPORT 10-14.07.23.xlsx,FD CAMENCEAN,2023-07-15 00:00:00
./data/2307/14.07 WEEKLY REPORT 10-14.07.23.xlsx,FD CRISTIAN,2023-07-15 00:00:00
./data/2307/14.07 WEEKLY REPORT 10-14.07.23.xlsx,FD DUMITRESCU,2023-07-15 00:00:00
./data/2307/14.07 WEEKLY REPORT 10-14.07.23.xlsx,FD LACATUS,2023-07-15 00:00:00
./data/2307/14.07 WEEKLY REPORT 10-14.07.23.xlsx,FD NECULAU,2023-07-15 00:00:00
./data/2307/14.07 WEEKLY REPORT 10-14.07.23.xlsx,FD SERBAN,2023-07-15 00:00:00
./data/2307/28.07 WEEKLY REPORT 24-28.07.23 .xlsx,FD SERBAN,2023-07-31 00:00:00
./data/2307/21.07 WEEKLY REPORT 17-21.07.23.xlsx,FD LACATUS,2023-07-15 00:00:00
